,strain,name,ORF,gene_set,set_info,cluster,strain_order,Description
81,spc105-4,SPC105,YGL093W,spindle assembly checkpoint,pos_with_GAP,1,33,Subunit of a kinetochore-microtubule binding complex; complex bridges centromeric heterochromatin and kinetochore MAPs and motors; required for sister chromatid bi-orientation and kinetochore binding of SAC components; complex also includes Kre28p; modified by sumoylation
82,mad1,MAD1,YGL086W,kinetochore spindle actin tubulin mitotic exit,pos_with_GAP,1,34,Coiled-coil protein involved in spindle-assembly checkpoint; required for inhibition of karyopherin/importin Pse1p (aka Kap121p) upon spindle assembly checkpoint arrest; phosphorylated by Mps1p upon checkpoint activation which leads to inhibition of anaphase promoting complex activity; forms a complex with Mad2p; gene dosage imbalance between MAD1 and MAD2 leads to chromosome instability
83,mad1,MAD1,YGL086W,"kinetochore, spindle assembly checkpoint",pos_with_GAP,1,34,Coiled-coil protein involved in spindle-assembly checkpoint; required for inhibition of karyopherin/importin Pse1p (aka Kap121p) upon spindle assembly checkpoint arrest; phosphorylated by Mps1p upon checkpoint activation which leads to inhibition of anaphase promoting complex activity; forms a complex with Mad2p; gene dosage imbalance between MAD1 and MAD2 leads to chromosome instability
84,mad1,MAD1,YGL086W,spindle assembly checkpoint,pos_with_GAP,1,34,Coiled-coil protein involved in spindle-assembly checkpoint; required for inhibition of karyopherin/importin Pse1p (aka Kap121p) upon spindle assembly checkpoint arrest; phosphorylated by Mps1p upon checkpoint activation which leads to inhibition of anaphase promoting complex activity; forms a complex with Mad2p; gene dosage imbalance between MAD1 and MAD2 leads to chromosome instability
85,hhf2,HHF2,YNL030W,histones and chromatin,pos_with_GAP,1,35,Histone H4; core histone protein required for chromatin assembly and chromosome function; one of two identical histone proteins (see also HHF1); contributes to telomeric silencing; N-terminal domain involved in maintaining genomic integrity
86,tid3-1,NDC80,YIL144W,kinetochore spindle actin tubulin mitotic exit,mixed,1,36,"Component of the kinetochore-associated Ndc80 complex; conserved coiled-coil protein involved in chromosome segregation, spindle checkpoint activity, and kinetochore assembly and clustering; evolutionarily conserved; complex members include Ndc80p, Nuf2p, Scp24p, and Spc25p; modified by sumoylation"
87,ctf13-30,CTF13,YMR094W,kinetochore spindle actin tubulin mitotic exit,pos_with_GAP,1,37,"Subunit of the CBF3 complex; CBF3 binds to the CDE III element of centromeres, bending the DNA upon binding, and may be involved in sister chromatid cohesion during mitosis"
88,ctf13-30,CTF13,YMR094W,"kinetochore, spindle assembly checkpoint",pos_with_GAP,1,37,"Subunit of the CBF3 complex; CBF3 binds to the CDE III element of centromeres, bending the DNA upon binding, and may be involved in sister chromatid cohesion during mitosis"
89,stu1-7,STU1,YBL034C,kinetochore spindle actin tubulin mitotic exit,mixed,1,38,"Microtubule plus-end-tracking non-motor protein; binds to MTs, stabilizing interpolar MT plus ends, facilitating polymerization of spindle MTs and producing an outward force on spindle poles; required for structural integrity of the mitotic spindle; binds detached kinetochores (KTs) and promotes capture; relocalizes to MTs and stabilizes the spindle once captured KTs reach a spindle pole; localizes to the spindle, spindles poles, and detached KTs; CLASP family member homologous to human CLASP1/2"
90,spc24-10,SPC24,YMR117C,kinetochore spindle actin tubulin mitotic exit,mixed,1,39,"Component of the kinetochore-associated Ndc80 complex; involved in chromosome segregation, spindle checkpoint activity, and kinetochore clustering; evolutionarily conserved; other members include Ndc80p, Nuf2p, Spc24p, and Spc25p"
91,dam1-1,DAM1,YGR113W,kinetochore spindle actin tubulin mitotic exit,pos_with_GAP,1,40,Essential subunit of the Dam1 complex (aka DASH complex); cooperates with Duo1p to connect the DASH complex with the microtubules (MT); couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; Ipl1p target for regulating kinetochore-MT attachments
92,dam1-1,DAM1,YGR113W,"kinetochore, spindle assembly checkpoint",pos_with_GAP,1,40,Essential subunit of the Dam1 complex (aka DASH complex); cooperates with Duo1p to connect the DASH complex with the microtubules (MT); couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; Ipl1p target for regulating kinetochore-MT attachments
93,ame1-4,AME1,YBR211C,kinetochore spindle actin tubulin mitotic exit,mixed,1,41,"Essential kinetochore protein associated with microtubules and SPBs; component of the kinetochore sub-complex COMA (Ctf19p, Okp1p, Mcm21p, Ame1p); involved in spindle checkpoint maintenance; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-U and fission yeast Mis17; relative distribution to the nucleus increases upon DNA replication stress"
94,okp1-5,OKP1,YGR179C,kinetochore spindle actin tubulin mitotic exit,mixed,1,42,"Outer kinetochore protein required for accurate chromosome segregation; component of COMA (Ctf19p, Okp1p, Mcm21p, Ame1p) a kinetochore sub-complex which functions as a platform for kinetochore assembly; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-Q and fission yeast fta7"
95,bre5,BRE5,YNR051C,ER and Golgi transport,pos_with_GAP,2,46,Ubiquitin protease cofactor; forms deubiquitination complex with Ubp3p that coregulates anterograde and retrograde transport between the endoplasmic reticulum and Golgi compartments; null is sensitive to brefeldin A
96,sac7,SAC7,YDR389W,MAPK HOG pathway,mixed,2,47,"GTPase activating protein (GAP) for Rho1p; regulator of a Tor2p-mediated, Rho1p GTPase switch that controls organization of the actin cytoskeleton; negative regulator of the RHO1-PKC1-MAPK cell integrity (CWI) and membrane fluidity homeostasis signaling pathways; potential Cdc28p substrate; SAC7 has a paralog, BAG7, that arose from the whole genome duplication"
97,sgv1-23,SGV1,YPR161C,transcription regulation and mediator complex,pos_with_GAP,2,48,Cyclin (Bur2p)-dependent protein kinase; part of the BUR kinase complex which functions in transcriptional regulation; phosphorylates the carboxy-terminal domain (CTD) of Rpo21p and the C-terminal repeat domain of Spt5p; recruits Spt6p to the CTD at the onset of transcription; regulated by Cak1p; similar to metazoan CDK9 proteins
98,ceg1-ts,CEG1,YGL130W,5' mRNA capping,pos_with_GAP,2,49,"Guanylyltransferase involved in mRNA 5' capping; subunit of mRNA capping enzyme, which is a heterotetramer composed of two molecules of Ceg1p and a homodimer of Cet1p, the mRNA 5'-triphosphatase subunit; nuclear import of Ceg1p requires interaction with Cet1p; mammalian capping enzyme is a single bifunctional polypeptide; human homolog RNGTT can complement yeast ceg1 null mutant"
99,ipl1-2,IPL1,YPL209C,kinetochore spindle actin tubulin mitotic exit,pos_with_GAP,2,51,"Aurora kinase of chromosomal passenger complex; mediates release of mono-oriented kinetochores from microtubules in meiosis I, and kinetochore release from SPB clusters at meiotic exit; helps maintain condensed chromosomes during anaphase; required for SPB cohesion and prevention of multipolar spindle formation; promotes telomerase release at G2/M; Iocalizes to nuclear foci that diffuse upon DNA replication stress; required for inhibition of karyopherin Pse1p upon SAC arrest"
100,ipl1-2,IPL1,YPL209C,"kinetochore, spindle assembly checkpoint",pos_with_GAP,2,51,"Aurora kinase of chromosomal passenger complex; mediates release of mono-oriented kinetochores from microtubules in meiosis I, and kinetochore release from SPB clusters at meiotic exit; helps maintain condensed chromosomes during anaphase; required for SPB cohesion and prevention of multipolar spindle formation; promotes telomerase release at G2/M; Iocalizes to nuclear foci that diffuse upon DNA replication stress; required for inhibition of karyopherin Pse1p upon SAC arrest"
101,ipl1-2,IPL1,YPL209C,spindle assembly checkpoint,pos_with_GAP,2,51,"Aurora kinase of chromosomal passenger complex; mediates release of mono-oriented kinetochores from microtubules in meiosis I, and kinetochore release from SPB clusters at meiotic exit; helps maintain condensed chromosomes during anaphase; required for SPB cohesion and prevention of multipolar spindle formation; promotes telomerase release at G2/M; Iocalizes to nuclear foci that diffuse upon DNA replication stress; required for inhibition of karyopherin Pse1p upon SAC arrest"
102,ume6,UME6,YDR207C,Rpd3L,pos_with_GAP,2,52,"Rpd3L histone deacetylase complex subunit; key transcriptional regulator of early meiotic genes; involved in chromatin remodeling and transcriptional repression via DNA looping; binds URS1 upstream regulatory sequence, represses transcription by recruiting conserved histone deacetylase Rpd3p (through co-repressor Sin3p) and chromatin-remodeling factor Isw2p; couples metabolic responses to nutritional cues with initiation and progression of meiosis"
103,ume6,UME6,YDR207C,histones and chromatin,pos_with_GAP,2,52,"Rpd3L histone deacetylase complex subunit; key transcriptional regulator of early meiotic genes; involved in chromatin remodeling and transcriptional repression via DNA looping; binds URS1 upstream regulatory sequence, represses transcription by recruiting conserved histone deacetylase Rpd3p (through co-repressor Sin3p) and chromatin-remodeling factor Isw2p; couples metabolic responses to nutritional cues with initiation and progression of meiosis"
104,bud13,BUD13,YGL174W,splicing,pos_with_GAP,2,53,Subunit of the RES complex; RES complex is required for nuclear pre-mRNA retention and splicing; involved in bud-site selection; diploid mutants display a unipolar budding pattern instead of the wild-type bipolar pattern due to a specific defect in MATa1 pre-mRNA splicing which leads to haploid gene expression in diploids
105,cet1-2,CET1,YPL228W,5' mRNA capping,pos_with_GAP,2,54,"RNA 5'-triphosphatase involved in mRNA 5' capping; subunit of mRNA capping enzyme, which is a heterotetramer composed of a Cet1p homodimer and two molecules of guanylyltransferase Ceg1p; Cet1p also has a role in regulation of RNAPII pausing at promoter-proximal sites; interaction between Cet1p and Ceg1p is required for Ceg1p nuclear import; mammalian enzyme is single bifunctional polypeptide; human homolog RNGTT can complement yeast cet1 null mutant"
106,tfb4-5001,TFB4,YPR056W,transcription regulation and mediator complex,mixed,2,55,"Subunit of TFIIH complex; involved in transcription initiation, similar to 34 kDa subunit of human TFIIH; interacts with Ssl1p"
107,sub1,SUB1,YMR039C,transcription regulation and mediator complex,pos_with_GAP,2,56,"Transcriptional regulator; facilitates elongation through factors that modify RNAP II; role in peroxide resistance involving Rad2p; role in nonhomologous end-joining (NHEJ) of ds breaks in plasmid DNA, but not chromosomal DNA; role in the hyperosmotic stress response through polymerase recruitment at RNAP II and RNAP III genes; negatively regulates sporulation; protein abundance increases in response to DNA replication stress; functionally complemented by human SUB1 (PC4)"
108,med8-51,MED8,YBR193C,transcription regulation and mediator complex,pos_with_GAP,2,57,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation
109,med6-5001,MED6,YHR058C,transcription regulation and mediator complex,pos_with_GAP,2,58,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; protein abundance increases in response to DNA replication stress
110,ret2-1,RET2,YFR051C,ER and Golgi transport,pos_with_GAP,2,60,Delta subunit of the coatomer complex (COPI); COPI coats Golgi-derived transport vesicles; involved in retrograde transport between Golgi and ER
111,sum1,SUM1,YDR310C,transcription regulation and mediator complex,pos_with_GAP,2,61,"Transcriptional repressor that regulates middle-sporulation genes; required for mitotic repression of middle sporulation-specific genes; also acts as general replication initiation factor; involved in telomere maintenance, chromatin silencing; regulated by pachytene checkpoint"
112,ypt1-3,YPT1,YFL038C,ER and Golgi transport,pos_with_GAP,2,62,"Rab family GTPase; involved in the ER-to-Golgi step of the secretory pathway; complex formation with the Rab escort protein Mrs6p is required for prenylation of Ypt1p by type II protein geranylgeranyltransferase (Bet2p-Bet4p); binds to unspliced HAC1 mRNA; regulates the unfolded protein response (UPR) by promoting the decay of HAC1 RNA; localizes to the early Golgi, the transitional Golgi and ER membranes, pre-autophagosomal structures, and cytoplasmic vesicles"
113,bts1,BTS1,YPL069C,ER and Golgi transport,pos_with_GAP,2,63,"Geranylgeranyl diphosphate synthase (GGPS); increases the intracellular pool of geranylgeranyl diphosphate, suppressor of bet2 mutation that causes defective geranylgeranylation of small GTP-binding proteins that mediate vesicular traffic"
114,gyp1,GYP1,YOR070C,ER and Golgi transport,pos_with_GAP,2,64,"Cis-golgi GTPase-activating protein (GAP) for yeast Rabs; the Rab family members are Ypt1p (in vivo) and for Ypt1p, Sec4p, Ypt7p, and Ypt51p (in vitro); involved in vesicle docking and fusion"
115,gda1,GDA1,YEL042W,ER and Golgi transport,mixed,2,65,"Guanosine diphosphatase located in the Golgi; involved in the transport of GDP-mannose into the Golgi lumen, converting GDP to GMP after mannose is transferred to substrates; null mutants are defective in sporulation and pre-meiotic S phase entry; orthologous to human ENTPD6, a meiosis-associated non-obstructive azoospermia (NOA) related gene identified in GWAS studies"
116,trs20-5001,TRS20,YBR254C,ER and Golgi transport,mixed,2,66,"Core component of transport protein particle (TRAPP) complexes I-III; TRAPPs are multimeric guanine nucleotide-exchange factors for GTPase Ypt1p, regulating ER-Golgi traffic (TRAPPI), intra-Golgi traffic (TRAPPII), endosome-Golgi traffic (TRAPPII and III) and autophagy (TRAPPIII); mutation leads to defects in endocytic recycling, block in sporulation/meiosis; mutations in human homolog TRAPPC2 cause spondyloepiphyseal dysplasia tarda, TRAPPC2 can complement yeast null mutant"
117,bet5-5001,BET5,YML077W,ER and Golgi transport,mixed,2,67,"Core component of transport protein particle (TRAPP) complexes I-III; TRAPP complexes are related multimeric guanine nucleotide-exchange factors for the GTPase Ypt1p, regulating ER-Golgi traffic (TRAPPI), intra-Golgi traffic (TRAPPII), endosome-Golgi traffic (TRAPPII and III) and autophagy (TRAPPIII); human homology TRAPPC1 complements yeast null mutant"
118,cdc23-1,CDC23,YHR166C,kinetochore spindle actin tubulin mitotic exit,pos_with_GAP,3,68,"Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C); APC/C is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition"
119,cdc23-1,CDC23,YHR166C,"kinetochore, spindle assembly checkpoint",pos_with_GAP,3,68,"Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C); APC/C is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition"
120,cdc20-1,CDC20,YGL116W,kinetochore spindle actin tubulin mitotic exit,pos_with_GAP,3,69,"Activator of anaphase-promoting complex/cyclosome (APC/C); APC/C is required for metaphase/anaphase transition; directs ubiquitination of mitotic cyclins, Pds1p, and other anaphase inhibitors; cell-cycle regulated; potential Cdc28p substrate; relative distribution to the nucleus increases upon DNA replication stress"
121,cdc20-1,CDC20,YGL116W,"kinetochore, spindle assembly checkpoint",pos_with_GAP,3,69,"Activator of anaphase-promoting complex/cyclosome (APC/C); APC/C is required for metaphase/anaphase transition; directs ubiquitination of mitotic cyclins, Pds1p, and other anaphase inhibitors; cell-cycle regulated; potential Cdc28p substrate; relative distribution to the nucleus increases upon DNA replication stress"
122,cdc20-1,CDC20,YGL116W,spindle assembly checkpoint,pos_with_GAP,3,69,"Activator of anaphase-promoting complex/cyclosome (APC/C); APC/C is required for metaphase/anaphase transition; directs ubiquitination of mitotic cyclins, Pds1p, and other anaphase inhibitors; cell-cycle regulated; potential Cdc28p substrate; relative distribution to the nucleus increases upon DNA replication stress"
123,vps71,VPS71,YML041C,histones and chromatin,pos_with_GAP,3,71,Nucleosome-binding component of the SWR1 complex; SWR1 exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for vacuolar protein sorting
124,swr1,SWR1,YDR334W,histones and chromatin,pos_with_GAP,3,72,"Swi2/Snf2-related ATPase; structural component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; relocalizes to the cytosol in response to hypoxia; chronological aging factor that mediates lifespan extension by dietary restriction"
125,prp11-ts,PRP11,YDL043C,splicing,pos_with_GAP,3,73,Subunit of the SF3a splicing factor complex; required for spliceosome assembly
126,sec20-1,SEC20,YDR498C,ER and Golgi transport,pos_with_GAP,3,74,Membrane glycoprotein v-SNARE; involved in retrograde transport from the Golgi to the endoplasmic reticulum (ER); required for N- and O-glycosylation in the Golgi but not in the ER and for efficient nuclear fusion during mating; mediates Sey1p-independent homotypic ER fusion; interacts with the Dsl1p complex through Tip20p
127,cln3,CLN3,YAL040C,kinetochore spindle actin tubulin mitotic exit,pos_with_GAP,3,75,"G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2, CCNB1, CCNC, CCND1, or CCNE1"
128,cln3,CLN3,YAL040C,"kinetochore, spindle assembly checkpoint",pos_with_GAP,3,75,"G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2, CCNB1, CCNC, CCND1, or CCNE1"
129,sgv1-35,SGV1,YPR161C,transcription regulation and mediator complex,pos_with_GAP,3,76,Cyclin (Bur2p)-dependent protein kinase; part of the BUR kinase complex which functions in transcriptional regulation; phosphorylates the carboxy-terminal domain (CTD) of Rpo21p and the C-terminal repeat domain of Spt5p; recruits Spt6p to the CTD at the onset of transcription; regulated by Cak1p; similar to metazoan CDK9 proteins
130,cse1-5002,CSE1,YGL238W,Gsp1 partner,pos_with_GAP,3,77,"Nuclear envelope protein that acts as a recycling factor; mediates the nuclear export of Srp1p (importin alpha) back to the cytoplasm after its import substrates have been released into the nucleoplasm, thereby allowing the participation of Srp1p in multiple rounds of nuclear import; required for accurate chromosome segregation; homolog of metazoan CAS and human CSE1L, overexpression of which is implicated in cancer progression"
131,pab1-5001,PAB1,YER165W,5' mRNA capping,pos_with_GAP,3,78,"Poly(A) binding protein; interacts with the cleavage factor complex CF I, mediates interactions between the 5' cap structure and the 3' mRNA poly(A) tail, involved in control of poly(A) tail length, interacts with translation factor eIF-4G; stimulates, but is not required for the deadenylation activity of the Pan2p-Pan3p poly(A)-ribonuclease complex"
132,pab1-5001,PAB1,YER165W,cleavage and polyadenylation factor,pos_with_GAP,3,78,"Poly(A) binding protein; interacts with the cleavage factor complex CF I, mediates interactions between the 5' cap structure and the 3' mRNA poly(A) tail, involved in control of poly(A) tail length, interacts with translation factor eIF-4G; stimulates, but is not required for the deadenylation activity of the Pan2p-Pan3p poly(A)-ribonuclease complex"
133,yrb1-51,YRB1,YDR002W,Gsp1 partner,pos_with_GAP,3,79,"Ran GTPase binding protein; involved in nuclear protein import and RNA export, ubiquitin-mediated protein degradation during the cell cycle; shuttles between the nucleus and cytoplasm; is essential; homolog of human RanBP1"
134,cks1-38,CKS1,YBR135W,kinetochore spindle actin tubulin mitotic exit,pos_with_GAP,3,80,"Cyclin-dependent protein kinase regulatory subunit and adaptor; interacts with Cdc28p (aka Cdk1p); required for G1/S and G2/M phase transitions and budding; mediates phosphorylation and degradation of Sic1p; modulates proteolysis of M-phase targets through interactions with the proteasome; role in transcriptional regulation, recruiting proteasomal subunits to target gene promoters; human homologs CKS1B and CKS2 can each complement yeast cks1 null mutant"
135,cks1-38,CKS1,YBR135W,"kinetochore, spindle assembly checkpoint",pos_with_GAP,3,80,"Cyclin-dependent protein kinase regulatory subunit and adaptor; interacts with Cdc28p (aka Cdk1p); required for G1/S and G2/M phase transitions and budding; mediates phosphorylation and degradation of Sic1p; modulates proteolysis of M-phase targets through interactions with the proteasome; role in transcriptional regulation, recruiting proteasomal subunits to target gene promoters; human homologs CKS1B and CKS2 can each complement yeast cks1 null mutant"
136,cks1-38,CKS1,YBR135W,proteasome,pos_with_GAP,3,80,"Cyclin-dependent protein kinase regulatory subunit and adaptor; interacts with Cdc28p (aka Cdk1p); required for G1/S and G2/M phase transitions and budding; mediates phosphorylation and degradation of Sic1p; modulates proteolysis of M-phase targets through interactions with the proteasome; role in transcriptional regulation, recruiting proteasomal subunits to target gene promoters; human homologs CKS1B and CKS2 can each complement yeast cks1 null mutant"
137,slu7-ts2,SLU7,YDR088C,splicing,pos_with_GAP,3,81,RNA splicing factor; required for ATP-independent portion of 2nd catalytic step of spliceosomal RNA splicing; interacts with Prp18p; contains zinc knuckle domain
138,med11-ts,MED11,YMR112C,transcription regulation and mediator complex,pos_with_GAP,3,82,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential protein
139,cdc4-3,CDC4,YFL009W,kinetochore spindle actin tubulin mitotic exit,pos_with_GAP,3,83,"F-box protein required for both the G1/S and G2/M phase transitions; modular substrate specificity factor which associates with core SCF (Cdc53p, Skp1p and Hrt1p/Rbx1p) to form the SCFCdc4 complex; SCFCdc4 acts as a ubiquitin-protein ligase directing ubiquitination of cyclin-dependent kinase (CDK) phosphorylated substrates, such as: Sic1p, Far1p, Cdc6p, Clb6p, and Cln3p"
140,cdc4-3,CDC4,YFL009W,"kinetochore, spindle assembly checkpoint",pos_with_GAP,3,83,"F-box protein required for both the G1/S and G2/M phase transitions; modular substrate specificity factor which associates with core SCF (Cdc53p, Skp1p and Hrt1p/Rbx1p) to form the SCFCdc4 complex; SCFCdc4 acts as a ubiquitin-protein ligase directing ubiquitination of cyclin-dependent kinase (CDK) phosphorylated substrates, such as: Sic1p, Far1p, Cdc6p, Clb6p, and Cln3p"
141,cdc4-2,CDC4,YFL009W,kinetochore spindle actin tubulin mitotic exit,pos_with_GAP,3,84,"F-box protein required for both the G1/S and G2/M phase transitions; modular substrate specificity factor which associates with core SCF (Cdc53p, Skp1p and Hrt1p/Rbx1p) to form the SCFCdc4 complex; SCFCdc4 acts as a ubiquitin-protein ligase directing ubiquitination of cyclin-dependent kinase (CDK) phosphorylated substrates, such as: Sic1p, Far1p, Cdc6p, Clb6p, and Cln3p"
142,cdc4-2,CDC4,YFL009W,"kinetochore, spindle assembly checkpoint",pos_with_GAP,3,84,"F-box protein required for both the G1/S and G2/M phase transitions; modular substrate specificity factor which associates with core SCF (Cdc53p, Skp1p and Hrt1p/Rbx1p) to form the SCFCdc4 complex; SCFCdc4 acts as a ubiquitin-protein ligase directing ubiquitination of cyclin-dependent kinase (CDK) phosphorylated substrates, such as: Sic1p, Far1p, Cdc6p, Clb6p, and Cln3p"
143,dcc1,DCC1,YCL016C,kinetochore spindle actin tubulin mitotic exit,pos_with_GAP,3,85,Subunit of a complex with Ctf8p and Ctf18p; shares some components with Replication Factor C; required for sister chromatid cohesion and telomere length maintenance
144,dcc1,DCC1,YCL016C,"kinetochore, spindle assembly checkpoint",pos_with_GAP,3,85,Subunit of a complex with Ctf8p and Ctf18p; shares some components with Replication Factor C; required for sister chromatid cohesion and telomere length maintenance
145,cik1,CIK1,YMR198W,kinetochore spindle actin tubulin mitotic exit,pos_with_GAP,3,86,"Kinesin-associated protein; required for both karyogamy and mitotic spindle organization, interacts stably and specifically with Kar3p and may function to target this kinesin to a specific cellular role; locus encodes a long and short transcript with differing functions; CIK1 has a paralog, VIK1, that arose from the whole genome duplication"
146,cik1,CIK1,YMR198W,"kinetochore, spindle assembly checkpoint",pos_with_GAP,3,86,"Kinesin-associated protein; required for both karyogamy and mitotic spindle organization, interacts stably and specifically with Kar3p and may function to target this kinesin to a specific cellular role; locus encodes a long and short transcript with differing functions; CIK1 has a paralog, VIK1, that arose from the whole genome duplication"
147,srp1-5001,SRP1,YNL189W,Gsp1 partner,pos_with_GAP,3,87,"Karyopherin alpha homolog; forms a dimer with karyopherin beta Kap95p to mediate import of nuclear proteins, binds the nuclear localization signal of the substrate during import; involved in cotranslational protein degradation; binds ribosome-bound nascent polypeptides; Srp1p and Sts1p couple proteasomes to nascent polypeptides emerging from the ribosome for cotranslational degradation"
148,kar3,KAR3,YPR141C,kinetochore spindle actin tubulin mitotic exit,pos_with_GAP,3,88,"Minus-end-directed microtubule motor; functions in mitosis and meiosis, localizes to the spindle pole body and localization is dependent on functional Cik1p, required for nuclear fusion during mating; potential Cdc28p substrate"
149,kar3,KAR3,YPR141C,"kinetochore, spindle assembly checkpoint",pos_with_GAP,3,88,"Minus-end-directed microtubule motor; functions in mitosis and meiosis, localizes to the spindle pole body and localization is dependent on functional Cik1p, required for nuclear fusion during mating; potential Cdc28p substrate"
150,mps1-3796,MPS1,YDL028C,kinetochore spindle actin tubulin mitotic exit,pos_with_GAP,3,90,"Dual-specificity kinase; autophosphorylation required for function; required for spindle pole body (SPB) duplication and spindle checkpoint function; contributes to bi-orientation by promoting formation of force-generating kinetochore-microtubule attachments in meiosis I; substrates include SPB proteins Spc42p, Spc110p, and Spc98p, mitotic exit network protein Mob1p, kinetochore protein Cnn1p, and checkpoint protein Mad1p; substrate of APCC(Cdh1); similar to human Mps1p"
151,mps1-3796,MPS1,YDL028C,"kinetochore, spindle assembly checkpoint",pos_with_GAP,3,90,"Dual-specificity kinase; autophosphorylation required for function; required for spindle pole body (SPB) duplication and spindle checkpoint function; contributes to bi-orientation by promoting formation of force-generating kinetochore-microtubule attachments in meiosis I; substrates include SPB proteins Spc42p, Spc110p, and Spc98p, mitotic exit network protein Mob1p, kinetochore protein Cnn1p, and checkpoint protein Mad1p; substrate of APCC(Cdh1); similar to human Mps1p"
152,mps1-3796,MPS1,YDL028C,spindle assembly checkpoint,pos_with_GAP,3,90,"Dual-specificity kinase; autophosphorylation required for function; required for spindle pole body (SPB) duplication and spindle checkpoint function; contributes to bi-orientation by promoting formation of force-generating kinetochore-microtubule attachments in meiosis I; substrates include SPB proteins Spc42p, Spc110p, and Spc98p, mitotic exit network protein Mob1p, kinetochore protein Cnn1p, and checkpoint protein Mad1p; substrate of APCC(Cdh1); similar to human Mps1p"
153,yhc1-2,YHC1,YLR298C,splicing,pos_with_GAP,3,91,"Component of the U1 snRNP complex required for pre-mRNA splicing; putative ortholog of human U1C protein, which is involved in formation of a complex between U1 snRNP and the pre-mRNA 5' splice site"
154,lsm1,LSM1,YJL124C,splicing,pos_with_GAP,3,92,"Lsm (Like Sm) protein; forms heteroheptameric complex (with Lsm2p, Lsm3p, Lsm4p, Lsm5p, Lsm6p, and Lsm7p) involved in degradation of cytoplasmic mRNAs; also enters the nucleus and positively regulates transcription initiation; unlike most Sm-like proteins, Lsm1p requires both its SM-domain and C-terminal domain for RNA-binding; binds to mRNAs under glucose starvation, most often in the 3' UTR; forms cytoplasmic foci upon DNA replication stress"
155,nnf1-77,NNF1,YJR112W,kinetochore spindle actin tubulin mitotic exit,pos_with_GAP,3,93,"Essential component of the outer kinetochore MIND complex; joins kinetochore subunits contacting DNA to those contacting microtubules; required for kinetochore bi-orientation and accurate chromosome segregation; complex consists of Mtw1p, Nnf1p, Nsl1p and Dsn1p; homologous to metazoan CENP-H proteins"
156,nnf1-77,NNF1,YJR112W,"kinetochore, spindle assembly checkpoint",pos_with_GAP,3,93,"Essential component of the outer kinetochore MIND complex; joins kinetochore subunits contacting DNA to those contacting microtubules; required for kinetochore bi-orientation and accurate chromosome segregation; complex consists of Mtw1p, Nnf1p, Nsl1p and Dsn1p; homologous to metazoan CENP-H proteins"
157,nnf1-77,NNF1,YJR112W,spindle assembly checkpoint,pos_with_GAP,3,93,"Essential component of the outer kinetochore MIND complex; joins kinetochore subunits contacting DNA to those contacting microtubules; required for kinetochore bi-orientation and accurate chromosome segregation; complex consists of Mtw1p, Nnf1p, Nsl1p and Dsn1p; homologous to metazoan CENP-H proteins"
158,sac3,SAC3,YDR159W,histones and chromatin,pos_with_GAP,3,94,mRNA export factor; required for biogenesis of the small ribosomal subunit; component of TREX-2 complex (Sac3p-Thp1p-Sus1p-Cdc31p) involved in transcription elongation and mRNA export from the nucleus; involved in post-transcriptional tethering of active genes to the nuclear periphery and to non-nascent mRNP; similar to the human germinal center-associated nuclear protein (GANP)
159,sac3,SAC3,YDR159W,mRNA export,pos_with_GAP,3,94,mRNA export factor; required for biogenesis of the small ribosomal subunit; component of TREX-2 complex (Sac3p-Thp1p-Sus1p-Cdc31p) involved in transcription elongation and mRNA export from the nucleus; involved in post-transcriptional tethering of active genes to the nuclear periphery and to non-nascent mRNP; similar to the human germinal center-associated nuclear protein (GANP)
